exercise_id,type,num_questions,severity,pattern
ex-4-3-1,grammar,10,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-4-4-11,grammar,8,WARNING,"[1, 0, 1, 1, 1, 1, 1, 1]"
ex-5-2-4,grammar,10,WARNING,"[1, 1, 0, 1, 1, 1, 3, 1, 1, 1]"
ex-5-2-7,grammar,10,WARNING,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
ex-6-1-3,vocabulary,5,WARNING,"[1, 1, 1, 1, 2]"
ex-6-2-2,vocabulary,5,CRITICAL,"[1, 1, 1, 1, 1]"
ex-6-3-1,grammar,4,CRITICAL,"[2, 2, 2, 2]"
ex-6-3-3,grammar,4,CRITICAL,"[2, 2, 2, 2]"
ex-7-1-3,grammar,5,WARNING,"[1, 1, 3, 1, 1]"
ex-7-1-6-subj,subjunctive,2,CRITICAL,"[1, 1]"
ex-8-1-1,grammar,5,WARNING,"[1, 0, 1, 1, 1]"
ex-8-1-2,grammar,5,CRITICAL,"[1, 1, 1, 1, 1]"
ex-8-2-1,grammar,5,CRITICAL,"[2, 2, 2, 2, 2]"
ex-8-3-1,grammar,5,CRITICAL,"[2, 2, 2, 2, 2]"
ex-9-1-b1-gram-c3,grammar,15,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-9-1-b1-gram-c4,grammar,15,WARNING,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
ex-9-1-b1-gram-c5,grammar,15,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-9-2-b1-4-3,grammar,15,WARNING,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
ex-9-3-10-1,reading-comprehension,15,WARNING,"[1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1]"
ex-9-3-11-vocab,vocabulary,21,WARNING,"[1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2]"
ex-9-3-13-2,grammar,15,WARNING,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
ex-9-3-14-2,grammar,10,WARNING,"[0, 0, 0, 0, 2, 1, 0, 0, 0, 0]"
ex-9-3-6-vocab,vocabulary,13,WARNING,"[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
ex-9-3-8-vocab,vocabulary,12,CRITICAL,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
ex-9-4-carbohidratos-comprehension,reading-comprehension,20,WARNING,"[1, 1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2]"
ex-9-5-amor-comprehension,reading-comprehension,7,WARNING,"[1, 2, 1, 1, 1, 1, 1]"
ex-9-5-cambia-comprehension,reading-comprehension,7,WARNING,"[0, 1, 1, 1, 1, 1, 1]"
ex-9-5-cambia-grammar,grammar,7,WARNING,"[0, 0, 0, 0, 0, 1, 0]"
ex-9-5-microbiota-grammar-1,grammar,15,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-9-5-microbiota-grammar-2,grammar,15,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-9-5-microbiota-grammar-3,grammar,15,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-9-5-microbiota-vocab-1,vocabulary,15,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-9-5-microbiota-vocab-2,vocabulary,15,CRITICAL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ex-9-5-nerviosismo-comprehension,reading-comprehension,7,WARNING,"[1, 1, 1, 1, 1, 1, 2]"
ex-9-5-nerviosismo-grammar,grammar,7,CRITICAL,"[0, 0, 0, 0, 0, 0, 0]"
ex-9-5-nerviosismo-vocab,vocabulary,7,WARNING,"[1, 1, 2, 1, 1, 1, 1]"
ex-9-6-abrazos-comprehension,reading-comprehension,10,WARNING,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1]"
ex-9-6-creamos-comprehension,reading-comprehension,10,WARNING,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1]"
ex-9-6-dudar-comprehension,reading-comprehension,10,WARNING,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
ex-9-6-emociones-comprehension,reading-comprehension,10,WARNING,"[1, 1, 2, 1, 1, 1, 1, 2, 1, 1]"
ex-9-6-estres-comprehension,reading-comprehension,10,CRITICAL,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
ex-9-7-rape-vocab,vocabulary,10,WARNING,"[2, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
ex-demo-antonyms,antonyms,3,CRITICAL,"[2, 2, 2]"
ex-demo-context,context,2,CRITICAL,"[1, 1]"
ex-demo-false-friends,false-friends,2,CRITICAL,"[1, 1]"
ex-demo-idioms,idioms,2,CRITICAL,"[0, 0]"
ex-demo-pronouns,pronouns,2,CRITICAL,"[1, 1]"
ex-demo-subjunctive,subjunctive,2,CRITICAL,"[1, 1]"
ex-demo-synonyms,synonyms,3,CRITICAL,"[1, 1, 1]"
